## sk_restricted_DOCUMENT
| shape | base | r1 616c766a5 | head 9ba0caf78 | head under G-REV |
| `ty:TAB+SSD` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None |
| `ty:SSD+ZWSP` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None |
| `ty:<SSD id>` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=dt-seed-7/dt-seed-7 | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=dt-seed-7/dt-seed-7 | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=dt-seed-7/dt-seed-7 |
| `dt:<SSD id>` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=dt-seed-7/dt-seed-7 | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=dt-seed-7/dt-seed-7 | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=dt-seed-7/dt-seed-7 |
| `ty:<DOCUMENT id>` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=dt-seed-8/dt-seed-8 | 201 e1 w1 f1 gw=DOCUMENT orig=dt-seed-8/dt-seed-8 | 201 e1 w1 f1 gw=DOCUMENT orig=dt-seed-8/dt-seed-8 |
| `key DocumentType:SSD` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `key document_type:SSD` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `key Type:SSD` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `dup dt SSD then DOC (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
| `dup dt DOC then SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `dup ty DOC then SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `escaped key document\u0054ype:SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `escaped key typ\u0065:SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `__proto__.type:SSD (raw)` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `legacy ty:DOC data.documentType:PROPERTY_DEED` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/PROPERTY_DEED | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/PROPERTY_DEED | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/PROPERTY_DEED |
| `legacy untyped data.documentType:DEGREE` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE |
| `dt:DOC data.documentType:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/SSD_DOCUMENT |
| `ty:DOC metadata.documentType:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
head == merged for this principal: True
